원 번호,한글 이름,영어 이름
1,주먹도끼,Handaxe
2,빗살무늬 토기,Comb-pattern Pottery
3,농경문 청동기,Ritual Bronze Object with Farming Scenes
4,칼과 칼집,Bronze Dagger and Lacquered Scabbard
5,디지털 실감 영상관 3,Immersive Digital Gallery 3
6,청동거울,Bronze Bowl with Inscription of “Hou(壺杅)”
7,산수무늬 벽돌,Tile with Landscape Design
8,투구와 판갑옷,Helmet and Plate Armor
9,금관과 금허리띠,Gold Crown and Gold Belt
10,철불,Iron Buddha
11,경천사 심층석탑,Ten-story Stone Pagoda from Gyeongcheonsa Temple
12,청년 4년 동종,Iron Buddha
13,한글 활자,Joseon Metal Type for Hangeul
14,대동여지도,Daedongnyeojido: Territorial Map of Korea
15,와규장각 의궤,Oegyujanggak Uigwe
16,대한제국 황제의 인장,Royal Seal for Imperial Edicts
17,반가사유상1,Pensive Bodhisattva1
18,반가사유상2,Pensive Bodhisattva2
19,태자사 남공대사 비석,Stele for the Buddhist Monk Nanggongdaesa at Taejasa Temple
20,"단원 풍속도첩 ,춤추는 아이",A Dancing Boy from Album of Genre Painting
21,정선이 그린 정양사,Jeongyangsa Temple by Jeong Seon
22,쾌불,Buddhist Hanging Scroll
23,나전 칠 모란 연꽃넝쿨무늬 옷상자,Lacquered Clothing Box Inlaid with Mother-of-pearl
24,분청사기 연꽃넝쿨 무늬 병,Buncheong Ware Bottle with Lotus and Scrolls Design
25,청동투구,Bronze Helmet
26,동자상,Buddhist Boy
27,백자 꽃무늬 조롱박 모양 병,White Porcelain Bottle with Orchid Design
28,감산사 불상,"Maitreya and Amitabha from Gamsansa Temple Site, Gyeongju"
29,금동관음보살좌상,Gilt-bronze Seated Avalokitesvara Bodhisattva
30,구황동 삼층석탑 출토 아미타불,"Buddha from the Pagoda at Guhwang-dong Temple Site, Gyeongju"
31,물가풍경무늬 정병,Kundika with Landscape Design
32,청자 칠보무늬 향로,"Incense Burner, Celadon with Openwork Cloisonne Design"
33,청자 어룡모양 주자,"Dragon-shaped Ewer, Celadon"
34,"분청사기 구름,용무늬 항아리",Buncheong Ware Jar with Cloud and Dragon Design
35,"백자 매화,새,대나무무늬 항아리","Blue-and-white Porcelain Jar with Plum, Bird and Bamboo Design"
36,백자 달항아리,White Porcelain Jar
37,여인상,lady
38,석조 보살 입상,bodhisattva
39,"백자 청화 꽃,과일무늬 주자",Blue-and-white Ewer with Fruit and Floral Design
40,겐지모노가타리 화첩,Illustrated Album of The Tale of Genji
