,정제 후 번호, 한글 이름,영어 이름,원본 라벨
0,1,주먹도끼,Handaxe,01_handaxe.mp4
1,2,빗살무늬 토기,Comb-pattern Pottery,02_bowl.mp4
2,3,농경문 청동기,Ritual Bronze Object with Farming Scenes,03_ritual_bronze_object.mp4
3,4,칼과 칼집,Bronze Dagger and Lacquered Scabbard,04_bronze_dagger.mp4
4,5,청동거울,Bronze Bowl with Inscription of “Hou(壺杅)”,06_bronze_bowl.mp4
5,6,산수무늬 벽돌,Tile with Landscape Design,07_brick_with_landscape.mp4
6,7,투구와 판갑옷,Helmet and Plate Armor,08_armor_and_helmat.mp4
7,8,금관과 금허리띠,Gold Crown and Gold Belt,09_golden_crown.mp4
8,9,철불,Iron Buddha,10_iron_seated_buddha.mp4
9,10,경천사 심층석탑_1,Ten-story Stone Pagoda from Gyeongcheonsa Temple_1,11_ten_story_stone_pagoda.mp4
10,11,경천사 심층석탑_2,Ten-story Stone Pagoda from Gyeongcheonsa Temple_2,11_ten_story_stone_pagoda02.mp4
11,12,경천사 심층석탑_3,Ten-story Stone Pagoda from Gyeongcheonsa Temple_3,11_ten_story_stone_pagoda03.mp4
12,13,청년 4년 동종,Iron Buddha,12_buddhist_bell.mp4
13,14,한글 활자,Joseon Metal Type for Hangeul,13_josen_metal_type_for_hangeul.mp4
14,15,대동여지도,Daedongnyeojido: Territorial Map of Korea,14_dardongnyeojido.mp4
15,16,대한제국 황제의 인장,Royal Seal for Imperial Edicts,16_toal_seal_for_imperial_edicts.mp4
16,17,태자사 남공대사 비석,Stele for the Buddhist Monk Nanggongdaesa at Taejasa Temple,19_stele_ofr_national_preceptor_nanggong.mp4
17,18,"단원 풍속도첩 ,춤추는 아이",A Dancing Boy from Album of Genre Painting,20_skecth_drawing.mp4
18,19,쾌불,Buddhist Hanging Scroll,22_buddhist_hanging_scroll.mp4
19,20,나전 칠 모란 연꽃넝쿨무늬 옷상자,Lacquered Clothing Box Inlaid with Mother-of-pearl,23_clothing_box.mp4
20,21,분청사기 연꽃넝쿨 무늬 병,Buncheong Ware Bottle with Lotus and Scrolls Design,24_bottle_with_lotus_scroll.mp4
21,22,청동투구,Bronze Helmet,25_bronze_helmat.mp4
22,23,동자상,Buddhist Boy,26_wooden_figure.mp4
23,24,백자 꽃무늬 조롱박 모양 병,White Porcelain Bottle with Orchid Design,27_gourd_shaped_bottle.mp4
24,25,감산사 불상,"Maitreya and Amitabha from Gamsansa Temple Site, Gyeongju",28_maitreya_bodhisattva.mp4
25,26,금동관음보살좌상,Gilt-bronze Seated Avalokitesvara Bodhisattva,29-avalokiteshvara_bodhisattva.mp4
26,27,구황동 삼층석탑 출토 아미타불,"Buddha from the Pagoda at Guhwang-dong Temple Site, Gyeongju",30_buddha_and_amitabha_buddha.mp4
27,28,물가풍경무늬 정병,Kundika with Landscape Design,31_kundika_with_willow.mp4
28,29,청자 칠보무늬 향로,"Incense Burner, Celadon with Openwork Cloisonne Design",32_incence_burmer.mp4
29,30,청자 어룡모양 주자,"Dragon-shaped Ewer, Celadon",33_dragon_shaped_ewer.mp4
30,31,"분청사기 구름,용무늬 항아리",Buncheong Ware Jar with Cloud and Dragon Design,34_jar_with_dragon.mp4
31,32,"백자 매화,새,대나무무늬 항아리","Blue-and-white Porcelain Jar with Plum, Bird and Bamboo Design",35_jar_with_plum.mp4
32,33,백자 달항아리,White Porcelain Jar,36_moon_jar.mp4
33,34,여인상,lady,37_lady.mp4
34,35,석조 보살 입상,bodhisattva,38_bodhisattva.mp4
35,36,"백자 청화 꽃,과일무늬 주자",Blue-and-white Ewer with Fruit and Floral Design,39_ewer_with_floral.mp4
36,37,겐지모노가타리 화첩,Illustrated Album of The Tale of Genji,40_tale_of_genji.mp4
